year,unitid,inst_name,state_abbr,inst_control,institution_level,inst_status,degree_granting,open_public,title_iv_indicator,postsec_public_active,postsec_public_active_title_iv,inst_category,inst_size,sector,primarily_postsecondary,hbcu,tribal_college,offering_highest_degree,offering_highest_level,offering_undergrad,offering_grad,inst_affiliation,dist_progs_all,religious_affiliation,calendar_system,student_faculty_ratio,geo_longitude,geo_latitude,opeid,geocode_accuracy,inst_alias,state_fips_geo,address,county_fips_geo,puma,fips,tract,zip,block_group,phone_number,geoid_block,city,census_region,county_name,census_division,county_fips,csa,region,cbsa,urban_centric_locale,cbsa_name,cbsa_type,cbsa_city,place_fips,necta,geoid_place,longitude,place_name,latitude,class_code,congress_district_id,upper_chamber,state_leg_district_upper,upper_chamber_name,lower_chamber,state_leg_district_lower,lower_chamber_name,lower_chamber_type,disability_percentage
"2022","138558","Abraham Baldwin Agricultural College","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Public, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Public","No","Not applicable","Semester","","","","00154100","","ABAC","","2802 Moore Hwy","","","Georgia","","31793-2601","","2293915001","","Tifton","","Tift County","","13277","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","45700","Town, distant","","Micropolitan statistical area","","","","","-83.528281","","31.481889","","1308","","","","","","","",""
"2022","138600","Agnes Scott College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","Presbyterian Church (USA)","Semester","","","","00154200",""," ","","141 E. College Ave.","","","Georgia","","30030-3770","","4044716000","","Decatur","","DeKalb County","","13089","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.295459","","33.769268","","1305","","","","","","","","25"
"2022","138716","Albany State University","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","5,000–9,999","Public, four-year or above","Yes","Yes","No","Master's degree","Post-master's certificate","Yes","Yes","Public","No","Not applicable","Semester","","","","00154400",""," ","","504 College Drive","","","Georgia","","31705","","2295003500","","Albany","","Dougherty County","","13095","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","10500","City, small","","Metropolitan statistical area","","","","","-84.141825","","31.56928","","1302","","","","","","","",""
"2022","138682","Albany Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00560100",""," ","","1704 South Slappey Boulevard","","","Georgia","","31701","","2294303500","","Albany","","Dougherty County","","13095","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","10500","City, small","","Metropolitan statistical area","","","","","-84.174284","","31.55434","","1302","","","","","","","",""
"2022","443748","Altierus Career College-Norcross","GA","Private not-for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private not-for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private not-for-profit (no religious affiliation)","No","Not applicable","Other academic year","","","","00149917",""," ","","1750 Beaver Ruin Rd-Ste 500","","","Georgia","","30093-2813","","7709211085","","Norcross","","Gwinnett County","","13135","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.155475","","33.934121","","1307","","","","","","","",""
"2022","438586","American InterContinental University-Atlanta","GA","Private for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private for-profit","No","Not applicable","Quarter","","","","02113613","","AIU Atlanta","","6600 Peachtree Dunwoody Road, 500 Embassy Row","","","Georgia","","30328","","40496565008118","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, midsize","","Metropolitan statistical area","","","","","-84.354907","","33.938779","","1306","","","","","","","",""
"2022","138761","Andrew College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Private not-for-profit (religious affiliation)","No","United Methodist","Semester","","","","00154500",""," ","","501College St","","","Georgia","","39840-5550","","2297322171","","Cuthbert","","Randolph County","","13243","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Not applicable","Town, distant","","Not applicable","","","","","-84.795021","","31.772321","","1302","","","","","","","",""
"2022","246813","Athens Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00560000",""," ","","800 U.S. Hwy 29 North","","","Georgia","","30601","","7063555000","","Athens","","Clarke County","","13059","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12020","City, midsize","","Metropolitan statistical area","","","","","-83.339598","","33.990183","","1309","","","","","","","","4"
"2022","419244","Atlanta Institute of Music and Media","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","Associate's degree","Yes","No","Private for-profit","No","Not applicable","Continuous","","","","03104500","","AIMM","","2875 Breckinridge Blvd., Suite 700","","","Georgia","","30096","","7702427717","","Duluth","","Gwinnett County","","13135","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.105311","","33.961164","","1307","","","","","","","",""
"2022","138901","Atlanta Metropolitan State College","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, not primarily baccalaureate or above","1,000–4,999","Public, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Public","No","Not applicable","Semester","","","","01216500","","AMSC","","1630 Metropolitan Parkway, SW","","","Georgia","","30310-4448","","4047564000","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","","Metropolitan statistical area","","","","","-84.404659","","33.70893","","1305","","","","","","","",""
"2022","138938","Atlanta School of Massage","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Differs by program","","","","02580200","","Atlanta Institute of Aesthetics;  ASM; AIA; Atlanta School of Esthetics; Atlanta School of Massage and Esthetics; Atlanta Institute of Esthetics; Atlanta School of Message; Atlanta Massage School","","2 Dunwoody Park South","","","Georgia","","30338","","6788050132","","Atlanta","","DeKalb County","","13089","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.311332","","33.922131","","1306","","","","","","","",""
"2022","138840","Atlanta Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00854300","","Atlanta Area Tech or Atlanta Technical Institute","","1560 Metropolitan Pkwy SW","","","Georgia","","30310-4446","","4042254400","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","","Metropolitan statistical area","","","","","-84.404995","","33.712009","","1305","","","","","","","",""
"2022","138929","Atlanta's John Marshall Law School","GA","Private for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Under 1,000","Private for-profit, four-year or above","Yes","No","No","Doctor's degree, professional practice","Doctor's degree","No","Yes","Private for-profit","No","Not applicable","Semester","","","","03173300",""," ","","245 Peachtree Center Ave. NE, Suite 1900","","","Georgia","","30303","","6789162600","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","","Metropolitan statistical area","","","","","-84.385603","","33.76128","","1305","","","","","","","",""
"2022","447917","Augusta School of Massage","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","Award of less than one academic year","Yes","No","Private for-profit","No","Not applicable","Continuous","","","","04021300",""," ","","608 Ponder Place Dr","","","Georgia","","30809","","7068634799","","Evans","","Columbia County","","13073","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12260","Suburb, large","","Metropolitan statistical area","","","","","-82.135503","","33.529159","","1312","","","","","","","",""
"2022","138956","Augusta Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00559900",""," ","","3200 Augusta Tech Drive","","","Georgia","","30906","","7067714000","","Augusta","","Richmond County","","13245","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12260","City, midsize","","Metropolitan statistical area","","","","","-82.048439","","33.418992","","1312","","","","","","","","4"
"2022","482149","Augusta University","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","5,000–9,999","Public, four-year or above","Yes","No","No","Doctor's degree, research/scholarship and professional practice","Doctor's degree","Yes","Yes","Public","No","Not applicable","Semester","","","","00157900",""," ","","1120 15th St","","","Georgia","","30912","","7067210211","","Augusta","","Richmond County","","13245","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12260","City, midsize","","Metropolitan statistical area","","","","","-81.989071","","33.47037","","1312","","","","","","","",""
"2022","440059","Aviation Institute of Maintenance-Atlanta","GA","Private for-profit","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","Under 1,000","Private for-profit, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Private for-profit","No","Not applicable","Semester","","","","03523300",""," ","","2025 Satellite Pointe","","","Georgia","","30096","","6783775600","","Duluth","","Gwinnett County","","13135","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.147864","","33.948914","","1307","","","","","","","",""
"2022","139144","Berry College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (no religious affiliation)","No","Not applicable","Semester","","","","00155400",""," ","","2277 Martha Berry Hwy NW","","","Georgia","","30149","","7062325374","","Mount Berry","","Floyd County","","13115","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","40660","Suburb, small","","Metropolitan statistical area","","","","","-85.189202","","34.290414","","1314","","","","","","","","18"
"2022","139153","Beulah Heights University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Doctor's degree, research/scholarship","Doctor's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","Interdenominational","Semester","","","","03076300","","BHU","","892 Berne St SE","","","Georgia","","30316","","4046272681","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","","Metropolitan statistical area","","","","","-84.35768","","33.736993","","1305","","","","","","","",""
"2022","139199","Brenau University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","No","No","Doctor's degree, professional practice","Doctor's degree","Yes","Yes","Private not-for-profit (no religious affiliation)","No","Not applicable","Semester","","","","00155600",""," ","","500 Washington Street SE","","","Georgia","","30501-3668","","7705346299","","Gainesville","","Hall County","","13139","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","23580","City, small","","Metropolitan statistical area","","","","","-83.821513","","34.303117","","1309","","","","","","","",""
"2022","139205","Brewton-Parker College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Private not-for-profit (religious affiliation)","No","Baptist","Semester","","","","00155700","","BPC","","201 David-Eliza Fountain Circle","","","Georgia","","30445","","9125832241","","Mount Vernon","","Montgomery County","","13209","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","47080","Rural, distant","","Micropolitan statistical area","","","","","-82.586136","","32.185718","","1312","","","","","","","",""
"2022","483045","Central Georgia Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","5,000–9,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00576300","","CGTC","","80 Cohen Walker Drive","","","Georgia","","31088","","4787573400","","Warner Robins","","Houston County","","13153","356","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","47580","City, small","","Metropolitan statistical area","","","","","-83.66765","","32.545341","","1308","","","","","","","",""
"2022","475732","Chamberlain University-Georgia","GA","Private for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private for-profit, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Private for-profit","No","Not applicable","Semester","","","","00638511","","Chamberlain College of Nursing-Atlanta","","1100 Altmore Avenue","","","Georgia","","30342","","4042508500","","Sandy Springs","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, midsize","","Metropolitan statistical area","","","","","-84.351949","","33.911943","","1306","","","","","","","",""
"2022","140331","Chattahoochee Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","5,000–9,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00562000",""," ","","980 S Cobb Drive Dr SE","","","Georgia","","30060","","7705284545","","Marietta","","Cobb County","","13067","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.553722","","33.929092","","1311","","","","","","","","5"
"2022","138947","Clark Atlanta University","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Private not-for-profit, four-year or above","Yes","Yes","No","Doctor's degree, research/scholarship","Doctor's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","United Methodist","Semester","","","","00155900","","CAU","","223 James P Brawley Drive, SW","","","Georgia","","30314-4391","","4048808000","","Atlanta","","Fulton County","","13121","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","City, large","","Metropolitan statistical area","","","","","-84.412584","","33.747628","","1305","","","","","","","",""
"2022","139311","Clayton  State University","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","5,000–9,999","Public, four-year or above","Yes","No","No","Master's degree","Post-master's certificate","Yes","Yes","Public","No","Not applicable","Semester","","","","00897600",""," ","","2000 Clayton State Boulevard","","","Georgia","","30260-0285","","6784664000","","Morrow","","Clayton County","","13063","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.328174","","33.594079","","1305","","","","","","","",""
"2022","485458","Coastal Pines Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00551100",""," ","","1701 Carswell Ave","","","Georgia","","31503","","9122875818","","Waycross","","Ware County","","13299","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","48180","Town, remote","","Micropolitan statistical area","","","","","-82.3821","","31.212781","","1301","","","","","","","",""
"2022","139250","College of Coastal Georgia","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Public, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Public","No","Not applicable","Semester","","","","00155800","","CCGA","","One College Drive","","","Georgia","","31520-3644","","9122795700","","Brunswick","","Glynn County","","13127","Not applicable","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","15260","City, small","","Metropolitan statistical area","","","","","-81.486169","","31.181983","","1301","","","","","","","",""
"2022","139348","Columbia Theological Seminary","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, graduate with no undergraduate degrees","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Doctor's degree, professional practice","Doctor's degree","No","Yes","Private not-for-profit (religious affiliation)","No","Presbyterian Church (USA)","Four-one-four plan","","","","00156000",""," ","","701 S. Columbia Dr","","","Georgia","","30030-4118","","4043788821","","Decatur","","DeKalb County","","13089","122","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","12060","Suburb, large","","Metropolitan statistical area","","","","","-84.281695","","33.764292","","1305","","","","","","","",""
"2022","139366","Columbus State University","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","5,000–9,999","Public, four-year or above","Yes","No","No","Doctor's degree, research/scholarship","Doctor's degree","Yes","Yes","Public","No","Not applicable","Semester","","","","00156100","","CSU, Columbus State","","4225 University Ave","","","Georgia","","31907-5645","","7065078800","","Columbus","","Muscogee County","","13215","194","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","17980","City, midsize","","Metropolitan statistical area","","","","","-84.94106","","32.50096","","1302","","","","","","","",""
"2022","139357","Columbus Technical College","GA","Public","At least two but less than four years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, associate's and certificates","1,000–4,999","Public, two-year","Yes","No","No","Associate's degree","At least two, but less than four academic years","Yes","No","Public","No","Not applicable","Semester","","","","00562400",""," ","","928 Manchester Expressway","","","Georgia","","31904-6572","","7066491800","","Columbus","","Muscogee County","","13215","194","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","17980","City, midsize","","Metropolitan statistical area","","","","","-84.978551","","32.508076","","1302","","","","","","","","3"
"2022","139393","Covenant College","GA","Private not-for-profit","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","Under 1,000","Private not-for-profit, four-year or above","Yes","No","No","Master's degree","Master's degree","Yes","Yes","Private not-for-profit (religious affiliation)","No","The Presbyterian Church in America","Semester","","","","00348400",""," ","","14049 Scenic Highway","","","Georgia","","30750-4164","","7068201560","","Lookout Mountain","","Dade County","","13083","174","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","16860","Rural, fringe","","Metropolitan statistical area","","","","","-85.375066","","34.965161","","1314","","","","","","","","13"
"2022","487959","Dalton Institute of Esthetics and Cosmetology","GA","Private for-profit","Less than two years (below associate's)","Active","No","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Nondegree-granting, sub-baccalaureate","Under 1,000","Private for-profit, less-than-two-year","Yes","No","No","Non–degree granting","At least one, but less than two academic years","Yes","No","Private for-profit","No","Not applicable","Continuous","","","","04242300",""," ","","100 West Walnut Avenue Suite 126","","","Georgia","","30720","","7062780065","","Dalton","","Whitfield County","","13313","174","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","19140","City, small","","Metropolitan statistical area","","","","","-84.970455","","34.762636","","1314","","","","","","","",""
"2022","139463","Dalton State College","GA","Public","Four or more years","Active","Yes","Yes","Participates in Title IV federal financial aid programs","Active postsecondary institution","Title IV postsecondary institution","Degree-granting, primarily baccalaureate or above","1,000–4,999","Public, four-year or above","Yes","No","No","Bachelor's degree","Bachelor's degree","Yes","No","Public","No","Not applicable","Semester","","","","00395600","","DSC, Dalton State","","650 College Drive","","","Georgia","","30720-3797","","7062724436","","Dalton","","Whitfield County","","13313","174","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","19140","City, small","","Metropolitan statistical area","","","","","-85.002775","","34.774221","","1314","","","","","","","",""
